Anaphylaxis
Generated by ADVANCE Code Mapper

History
Step, Arguments
vocabularies, ICD10, ICD10CM, ICD9CM, ICPC2P, RCD
semantic types, T020, T190, T049, T019, T047, T050, T033, T037, T048, T191, T046, T184, T007, T204, T004, T005
initial cuis, C0000729, C0000737, C0002092, C0002111, C0002112, C0002792, C0002994, C0004048, C0005775, C0005778, C0005790, C0005823, C0006100, C0006266, C0007095, C0007129, C0007226, C0008059, C0009264, C0009443, C0009450, C0009498, C0009500, C0009521, C0010340, C0010520, C0011906, C0011923, C0011991, C0013404, C0013502, C0013927, C0015230, C0016006, C0016382, C0016470, C0016701, C0017185, C0018104, C0018787, C0019243, C0019536, C0019588, C0019825, C0020361, C0020517, C0020523, C0020649, C0021167, C0021270, C0022281, C0022885, C0023078, C0024117, C0024899, C0025562, C0026724, C0026827, C0027051, C0027497, C0027551, C0028405, C0031511, C0032343, C0033774, C0034571, C0035203, C0035237, C0036658, C0036751, C0036974, C0037088, C0037383, C0038450, C0038585, C0038644, C0038894, C0038895, C0039070, C0039231, C0039712, C0040408, C0041657, C0042109, C0042173, C0042317, C0042963, C0043144, C0043309, C0068131, C0086143, C0126013, C0147080, C0150618, C0153377, C0176210, C0178913, C0178987, C0179834, C0205246, C0205286, C0205433, C0205489, C0221292, C0221444, C0224153, C0231835, C0234192, C0234892, C0238462, C0240211, C0332140, C0332157, C0332196, C0332521, C0333047, C0334299, C0340865, C0342008, C0344329, C0355054, C0392196, C0425468, C0425580, C0425710, C0425716, C0426576, C0427579, C0439092, C0439093, C0439237, C0439275, C0439475, C0441509, C0442816, C0445106, C0456947, C0456948, C0456949, C0458827, C0460002, C0475858, C0488055, C0521346, C0521362, C0521989, C0540301, C0542538, C0543467, C0580272, C0600420, C0680063, C0686904, C0689399, C0700292, C0708013, C0718579, C0719425, C0750016, C0780681, C0849916, C0857172, C0871468, C0871470, C0995815, C1116455, C1123023, C1140263, C1168028, C1260880, C1265431, C1265570, C1272517, C1274039, C1276802, C1305923, C1306620, C1306645, C1314973, C1394418, C1442447, C1442450, C1442451, C1442460, C1442770, C1446194, C1455667, C1456649, C1457907, C1513895, C1516559, C1518922, C1521802, C1522642, C1524119, C1527304, C1542834, C1551576, C1655045, C1704241, C1704259, C1704318, C1704347, C1704387, C1705987, C1707310, C1714886, C1821572, C1829025, C1882041, C1962945, C1965681, C1980011, C3274161, C3463871, C3539909, C3665375, C3714660, C3813192, C3844700

Concepts
Name, CUI, Vocabulary, Code
Dyspnea, C0013404, ICD10, R06.0
Syncope, C0039070, ICD10, R55
Pruritus, C0033774, ICD10, L29
Pruritus, C0033774, ICD10, L29.9
Hypersensitivity, C0020517, ICD10, T78.4
Hypotension, C0020649, ICD10, I95
Hypotension, C0020649, ICD10, I95.9
Urticaria, C0042109, ICD10, L50
Urticaria, C0042109, ICD10, L50.9
Echinococcosis, C0013502, ICD10, B67
Common Cold, C0009443, ICD10, J00
Sneezing, C0037383, ICD10, R06.7
Tachycardia, C0039231, ICD10, R00.0
Chronic Obstructive Airway Disease, C0024117, ICD10, J44.9
Exanthema, C0015230, ICD10, R21
Cyanosis, C0010520, ICD10, R23.0
Sudden infant death syndrome, C0038644, ICD10, R95
Stridor, C0038450, ICD10, R06.1
Flushing, C0016382, ICD10, R23.2
Wheezing, C0043144, ICD10, R06.2
Shock, C0036974, ICD10, R57.9
anaphylaxis, C0002792, ICD10, T78.2
Angioedema, C0002994, ICD10, T78.3
Malignant neoplasm of uvula, C0153377, ICD10, C05.2
"Embolism, Amniotic Fluid", C0013927, ICD10, O88.1
Mastocytosis, C0024899, ICD10, Q82.2
Dyspnea, C0013404, ICD10CM, R06.0
Dyspnea, C0013404, ICD10CM, R06.00
Dyspnea, C0013404, ICD10CM, R06.02
Syncope, C0039070, ICD10CM, R55
Pruritus, C0033774, ICD10CM, L29
Pruritus, C0033774, ICD10CM, L29.9
Hypersensitivity, C0020517, ICD10CM, T78.40
Vomiting, C0042963, ICD10CM, R11.1
Vomiting, C0042963, ICD10CM, R11.10
Hypotension, C0020649, ICD10CM, I95
Hypotension, C0020649, ICD10CM, I95.9
Urticaria, C0042109, ICD10CM, L50
Urticaria, C0042109, ICD10CM, L50.9
Echinococcosis, C0013502, ICD10CM, B67
Echinococcosis, C0013502, ICD10CM, B67.90
Common Cold, C0009443, ICD10CM, J00
Sneezing, C0037383, ICD10CM, R06.7
Tachycardia, C0039231, ICD10CM, R00.0
Chronic Obstructive Airway Disease, C0024117, ICD10CM, J44.9
Diarrhea, C0011991, ICD10CM, R19.7
Abdominal Pain, C0000737, ICD10CM, R10.9
Exanthema, C0015230, ICD10CM, R21
Unconscious State, C0041657, ICD10CM, R40.20
Cyanosis, C0010520, ICD10CM, R23.0
Stridor, C0038450, ICD10CM, R06.1
Flushing, C0016382, ICD10CM, R23.2
Nausea, C0027497, ICD10CM, R11.0
Myocardial Infarction, C0027051, ICD10CM, I21
Myocardial Infarction, C0027051, ICD10CM, I22
